date,extreme_decimal_united_states,extreme_decimal_china,extreme_decimal_brazil,extreme_decimal_argentina,Corn_Volume,Corn_Open_Int,Corn_Last,Soy_Volume,Soy_Open_Int,Soy_Last,Dollar_Index_Last,CrudeWTI_Last,glob_uncertainty_index,geopol_risk_index,VIX_index,corn_last_104w_avg,soy_last_104w_avg,corn_last_5week_av_change,soy_last_5week_av_change
21/06/1999,0.069034,0.023057,0.096014,0.086311,166553,318163,211.25,117044,158375,430.5,102.32,18.2,70.8375662,70.37,21.76,219.44,468.64,-1.8,-2.4
28/06/1999,0.041356,0.03021,0.114197,0.127319,206144,320051,193.25,137828,165052,407.5,103.42,19.38,71.34161048,60.39142857,18.66,218.4326923,466.2884615,-4.85,-7.2
05/07/1999,0.051468,0.042357,0.137568,0.114749,178471,334655,176.75,166333,167546,391.5,104.36,19.68,71.84565476,60.40428571,17.96,216.8888889,463.5185185,-8.4,-11
12/07/1999,0.101112,0.035802,0.110904,0.18604,143748,334041,173.75,116914,161342,396,104.06,20.17,70.10062907,73.03428571,17.42,215.3482143,461.1071429,-8.7,-11.9
19/07/1999,0.084705,0.076545,0.137067,0.177654,181731,331802,190,156520,156727,448,101.57,20.02,68.35560338,54.96142857,23.32,214.4741379,460.6551724,-5.05,-1.6
26/07/1999,0.067862,0.07675,0.093992,0.148664,130761,320787,183.25,139057,142993,407.5,99.74,21,66.61057769,56.12714286,24.64,213.4333333,458.8833333,-5.6,-4.6
02/08/1999,0.056196,0.107727,0.109215,0.135015,205113,325416,203.5,157196,137803,454.5,99.68,20.58,64.865552,62.82142857,26.6,213.1129032,458.7419355,2.05,9.4
09/08/1999,0.058392,0.120524,0.137246,0.06314,159477,323484,193.5,109614,137479,424.5,100.74,21.4,65.04478957,78.27142857,22.31,212.5,457.671875,3.35,6.6
16/08/1999,0.058151,0.096028,0.105001,0.049185,105183,316720,193.75,89890,134566,446,99.58,21.8,65.22402714,59.90857143,22.95,211.9318182,457.3181818,4,10
23/08/1999,0.04039,0.117189,0.122411,0.046974,130197,307103,193.75,74828,129474,449,101.01,21.1,65.40326472,55.53428571,21.83,211.3970588,457.0735294,0.75,0.2
30/08/1999,0.054267,0.121256,0.172542,0.029986,124701,290256,206.5,87176,130750,473,99.8,21.56,65.58250229,59.56285714,20.98,211.2571429,457.5285714,4.65,13.1
06/09/1999,0.049297,0.091506,0.129653,0.034057,100796,287901,201.75,99291,142453,488,100.94,23.12,65.76173986,75.64285714,22.03,210.9930556,458.375,-0.35,6.7
13/09/1999,0.069645,0.05274,0.07432,0.045517,117776,307399,194.25,77023,145966,461,100.42,24.4,65.66230675,76.17857143,23.3,210.5405405,458.4459459,0.15,7.3
20/09/1999,0.112323,0.041009,0.057072,0.068089,115274,335775,191.75,84750,148243,448.5,99.68,24.77,65.56287365,77.66428571,27.79,210.0460526,458.1842105,-0.4,0.5
27/09/1999,0.085171,0.02853,0.060863,0.07219,113686,354607,191.25,88160,157810,448,98.07,24.53,65.46344054,68.22,24.93,209.5641026,457.9230769,-0.5,-0.2
04/10/1999,0.053558,0.027166,0.092101,0.061576,112865,376506,191.25,94376,163807,455.5,98.88,22.18,65.36400743,67.66857143,20.49,209.10625,457.8625,-3.05,-3.5
11/10/1999,0.062533,0.032231,0.125605,0.047671,90456,409322,189.5,90370,177551,459,97.07,22.01,66.04193747,87.43,28.75,208.6280488,457.8902439,-2.45,-5.8
18/10/1999,0.044051,0.034206,0.085169,0.068861,94092,427153,191,113349,183798,439,98.32,22.73,66.71986751,59.94857143,21.64,208.2083333,457.4404762,-0.65,-4.4
25/10/1999,0.047766,0.035986,0.062375,0.074439,109698,439963,190.5,146896,175655,443.5,99.02,21.61,67.39779755,71.29857143,22.2,207.7965116,457.1162791,-0.25,-1
01/11/1999,0.051108,0.039678,0.074696,0.051338,111593,458803,193,102508,165046,453.5,100.26,23.26,68.07572759,50.32,21.66,207.4602273,457.0340909,0.35,1.1
08/11/1999,0.097701,0.056941,0.057395,0.053625,131247,466056,188.25,77862,162733,440.5,100.76,24.17,66.62429523,48.21285714,21.65,207.0333333,456.6666667,-0.6,-3
15/11/1999,0.15602,0.059383,0.042636,0.085479,130586,472487,193.75,76953,164597,448,100.91,26.35,65.17286288,60.25142857,19.11,206.7445652,456.4782609,0.85,-2.2
22/11/1999,0.108436,0.062568,0.069869,0.136114,139006,463230,196.25,54263,165233,449,101.36,26.55,63.72143052,65.27142857,22.33,206.5212766,456.3191489,1.05,2
29/11/1999,0.103626,0.048094,0.100746,0.115047,185063,406294,198.5,78798,162606,457,102.52,25.73,62.26999817,62.58,19.32,206.3541667,456.3333333,1.6,2.7
06/12/1999,0.069974,0.034301,0.042407,0.079164,90777,388908,195.25,86682,161240,445.5,101.6,25.95,60.81856581,79.40285714,21.48,206.127551,456.1122449,0.45,-1.6
13/12/1999,0.123016,0.046977,0.035647,0.050801,88343,392234,196.5,81320,155673,437.5,102.14,26.73,61.92798695,95.02,21.35,205.935,455.74,1.65,-0.6
20/12/1999,0.137811,0.094866,0.040431,0.058356,56632,385368,201.75,67849,149724,451,101.36,25.84,63.03740809,100.7942857,21.12,205.8529412,455.6470588,1.6,0.6
27/12/1999,0.19414,0.155513,0.044676,0.080011,60586,384094,204.5,103563,139670,447.5,101.87,26.92,64.14682923,107.8385714,23.4,205.8269231,455.4903846,1.65,-0.3
03/01/2000,0.105669,0.070304,0.056122,0.056492,105494,398636,206,94796,135284,459,100.79,24.56,65.25625037,67.37142857,21.72,205.8301887,455.5566038,1.5,0.4
10/01/2000,0.086363,0.083888,0.059624,0.071845,222645,435595,207,116580,142577,474,101.8,26.7,64.06506748,57.28428571,19.66,205.8518519,455.8981481,2.35,5.7
17/01/2000,0.107327,0.094412,0.053607,0.050675,122051,468325,214.75,101308,150251,482.5,101.72,27.75,62.8738846,66.90428571,20.82,206.0136364,456.3818182,3.65,9
24/01/2000,0.131603,0.098267,0.042175,0.047159,146926,478437,215.5,112121,165122,499.5,104.73,27.19,61.68270171,63.75142857,26.14,206.1830357,457.1517857,2.75,9.7
31/01/2000,0.146327,0.086216,0.063978,0.061016,123695,483442,212.75,98904,172382,485.5,104.2,28.11,60.49151883,66.40285714,21.54,206.2982456,457.6491228,1.65,7.6
07/02/2000,0.186706,0.057297,0.070731,0.074197,129705,484455,215.75,93220,175698,485,104.2,29.39,59.30033594,82.62714286,24.42,206.4612069,458.1206897,1.95,5.2
14/02/2000,0.184583,0.038195,0.083424,0.089669,128605,487253,214.5,90820,177034,496.5,104.59,29.29,59.96212962,62.19714286,26,206.5974576,458.7711864,1.5,4.5
21/02/2000,0.110527,0.030414,0.074636,0.057805,214332,470177,216.25,160143,169544,482,105.29,29.73,60.62392331,48.76571429,25.2,206.7583333,459.1583333,0.3,-0.1
28/02/2000,0.078515,0.035279,0.077316,0.058368,190637,451923,217.5,120305,161085,488.5,106.25,31.4,61.285717,47.24428571,19.21,206.9344262,459.6393443,0.4,-2.2
06/03/2000,0.084818,0.091856,0.082495,0.072833,133328,452099,218.75,99617,164843,485,105.71,31.51,61.94751068,50.45571429,21.24,207.125,460.0483871,1.2,-0.1
13/03/2000,0.06826,0.102612,0.118439,0.075048,206132,485404,231.75,126644,171819,512,105.25,31.14,62.60471946,53.40142857,22.37,207.515873,460.8730159,3.2,5.4
20/03/2000,0.063492,0.094901,0.106485,0.069825,119065,506089,225,93734,183217,502.5,104.61,27.55,63.26192824,53.44428571,23.31,207.7890625,461.5234375,2.1,1.2
27/03/2000,0.067947,0.104235,0.070067,0.050791,143136,502986,229,89211,185485,517,105.47,26.8,63.91913701,47.79428571,23.67,208.1153846,462.3769231,2.55,7
03/04/2000,0.062626,0.115558,0.054214,0.037368,115590,499464,224.25,110914,197931,514.5,106.02,25.43,64.57634579,35.29,24.39,208.3598485,463.1666667,1.35,5.2
10/04/2000,0.064231,0.108136,0.056695,0.021628,145492,490468,223.25,101615,196591,506.5,105.47,25.3,69.88832538,52.36,33.49,208.5820896,463.8134328,0.9,4.3
17/04/2000,0.034918,0.069331,0.048928,0.035396,125819,490031,223.75,96771,194947,512.5,107.33,25.8,75.20030496,47.95714286,25.85,208.8051471,464.5294118,-1.6,0.1
24/04/2000,0.023937,0.087266,0.043876,0.021878,192772,471520,225,141685,191237,509,110.02,24.73,80.51228455,65.29,26.2,209.0398551,465.173913,0,1.3
01/05/2000,0.046499,0.128842,0.045462,0.039324,235560,490464,241.25,144082,194771,535.5,111.29,26.67,85.82426413,68.57714286,27.53,209.5,466.1785714,2.45,3.7
08/05/2000,0.045841,0.088444,0.043648,0.05365,145976,490457,240.75,104552,197593,539,109.81,29.28,86.49703276,86.07285714,26.05,209.9401408,467.2042254,3.3,4.9
15/05/2000,0.068763,0.079612,0.041835,0.123997,143655,472785,235,120367,195442,530,111.53,30.2,87.16980139,81.01285714,25.44,210.2881944,468.0763889,2.35,4.7
22/05/2000,0.044549,0.053517,0.040658,0.121262,125827,464062,229.5,112753,192216,511,109.12,30.02,87.84257001,78.04,24.47,210.5513699,468.6643836,1.15,-0.3
29/05/2000,0.046037,0.031534,0.051668,0.124862,139526,451809,227,100257,179530,512.5,107.85,30.15,88.51533864,86.11857143,21.48,210.7736486,469.2567568,0.4,0.7
05/06/2000,0.046885,0.017154,0.062238,0.084417,133082,452220,212.25,97754,177755,503,107.07,29.9,89.18810727,73.95428571,22.14,210.7933333,469.7066667,-5.8,-6.5
12/06/2000,0.040369,0.019671,0.093956,0.089623,174987,455181,200.25,156402,169403,490.5,106.02,32.46,83.72331602,60.79857143,20.5,210.6546053,469.9802632,-8.1,-9.7
19/06/2000,0.043962,0.033726,0.075179,0.107034,148691,449405,193.75,102433,163686,483,108.11,32.4,78.25852477,55.26428571,22.34,210.4350649,470.1493506,-8.25,-9.4
26/06/2000,0.055888,0.036811,0.070059,0.067575,228772,420372,180.75,130900,154611,471,106.95,31.8,72.79373352,52.27714286,19.54,210.0544872,470.1602564,-9.75,-8
03/07/2000,0.036543,0.068108,0.061744,0.113636,149105,397607,175.75,93618,147218,464.5,107.65,30.18,67.32894227,56.79142857,19.22,209.6202532,470.0886076,-10.25,-9.6
10/07/2000,0.048816,0.094429,0.078204,0.183423,126019,393961,178,86043,145917,457,108.35,31.3,64.75525442,49.11714286,19.32,209.225,469.925,-6.85,-9.2
17/07/2000,0.055192,0.042462,0.076128,0.207092,114484,389471,176,88456,141692,460,108.44,29.55,62.18156656,47.03571429,18.94,208.8148148,469.8024691,-4.85,-6.1
24/07/2000,0.042271,0.034879,0.062694,0.060597,85086,387587,167.25,88698,132525,442,109.74,28.27,59.60787871,52.24857143,20.84,208.3079268,469.4634146,-5.3,-8.2
31/07/2000,0.035894,0.04842,0.06703,0.056045,85242,393105,163.75,61735,126922,433.5,110.85,28.83,57.03419085,43.62857143,18.62,207.7710843,469.0301205,-3.4,-7.5
07/08/2000,0.043592,0.05083,0.086483,0.060986,101617,390073,162.25,60837,126343,444,111.24,31.17,54.460503,48.05285714,18.55,207.2291667,468.7321429,-2.7,-4.1
14/08/2000,0.085475,0.04841,0.080087,0.056779,88572,396934,167.25,59494,124950,446,111.01,31.85,56.02627399,42.76,17.05,206.7588235,468.4647059,-2.15,-2.2
21/08/2000,0.13002,0.038138,0.080767,0.075368,104202,385817,166,55018,125849,449.5,111.34,31.64,57.59204498,46.94,16.53,206.2848837,468.244186,-2,-2.1
28/08/2000,0.115886,0.042051,0.052267,0.055285,171358,373135,174.25,114560,131879,477,111.42,33,59.15781597,56.95714286,17.53,205.9166667,468.3448276,1.4,7
04/09/2000,0.085738,0.046808,0.101349,0.042865,128368,354917,175.5,101052,141310,479,114.61,34.97,60.72358696,47.84285714,18.46,205.5710227,468.4659091,2.35,9.1
11/09/2000,0.106817,0.057677,0.159829,0.051669,102366,353153,169.75,84837,146213,452,116.11,34.65,62.74583738,62.19428571,18.52,205.1685393,468.2808989,1.5,1.6
18/09/2000,0.123662,0.062436,0.069108,0.071408,91794,356677,170,76026,151539,467,113.81,33.78,64.7680878,60.01857143,20.74,204.7777778,468.2666667,0.55,4.2
25/09/2000,0.107507,0.026877,0.05645,0.04302,99370,361727,182.75,81582,158817,462.5,113.19,30.45,66.79033822,40.33714286,20.57,204.5357143,468.2032967,3.35,2.6
02/10/2000,0.064367,0.011077,0.064299,0.11105,130702,376831,193.25,81173,172681,458.5,114.82,30.8,68.81258864,65.31428571,22.71,204.4130435,468.0978261,3.8,-3.7
09/10/2000,0.026246,0.02442,0.053656,0.077515,112565,387739,198.5,98599,183536,443.5,115.86,35.76,75.96163535,103.3714286,27.6,204.3494624,467.8333333,4.6,-7.1
16/10/2000,0.045316,0.114825,0.043538,0.052718,94199,402563,201.25,98828,191788,449,117.11,33.13,83.11068206,80.04714286,24.24,204.3164894,467.6329787,6.3,-0.6
23/10/2000,0.059442,0.298648,0.06638,0.10678,100864,412989,199.25,126902,188903,441.5,117.45,33.58,90.25972878,56.45142857,26.47,204.2631579,467.3578947,5.85,-5.1
30/10/2000,0.118589,0.133648,0.050407,0.076606,158996,439618,208.25,104736,177084,457,114.97,32.44,97.40877549,51.20714286,23.67,204.3046875,467.25,5.1,-1.1
06/11/2000,0.16238,0.089608,0.059899,0.141361,134991,460999,210.75,90212,169652,450,115.79,33.84,104.5578222,42.68,28.53,204.371134,467.0721649,3.5,-1.7
13/11/2000,0.146311,0.168168,0.063692,0.139702,132698,464207,208.75,78723,164013,470,117.31,34.52,103.6181999,37.76285714,24.81,204.4158163,467.1020408,2.05,5.3
20/11/2000,0.102351,0.04767,0.035814,0.080552,128969,457790,216.25,68136,164602,473,118.48,34.78,102.6785776,56.74142857,26,204.5353535,467.1616162,3,4.8
27/11/2000,0.119227,0.090668,0.030941,0.040099,205905,434961,214.5,107064,170330,492,114.73,33.48,101.7389553,44.18285714,27.48,204.635,467.41,3.05,10.1
04/12/2000,0.103289,0.082552,0.024802,0.026265,114822,418278,213.75,91922,178313,496.5,114.05,29,100.799333,41.27428571,22.41,204.7252475,467.6980198,1.1,7.9
11/12/2000,0.096634,0.071496,0.025498,0.027869,83000,410467,215.25,82392,184458,492.5,112.9,28.75,100.401516,46,26.55,204.8284314,467.9411765,0.9,8.5
18/12/2000,0.097404,0.100235,0.056712,0.01861,86395,408856,224.75,85762,177630,496.5,110.82,26.18,100.0036989,52.48142857,27.55,205.0218447,468.2184466,3.2,5.3
25/12/2000,0.161574,0.136398,0.041022,0.025824,104677,421651,222.25,100883,167591,487.5,109.56,25.76,99.6058819,47.08142857,26.85,205.1875,468.4038462,1.2,2.9
01/01/2001,0.151056,0.125125,0.027676,0.017534,113717,444531,219,89337,162146,476,108.42,27.99,99.20806486,49.32714286,28.67,205.1225962,467.7788462,0.9,-3.2
08/01/2001,0.107613,0.121575,0.029723,0.015952,150300,442589,222,100020,159253,464,109.28,29.53,99.3558067,54.78142857,24.56,205.1081731,467.2403846,1.65,-6.5
15/01/2001,0.129637,0.149855,0.057949,0.023914,132979,450632,208,91226,158587,453.5,110.67,28.64,99.50354854,47.91142857,23.24,204.9951923,466.6490385,-1.45,-7.8
22/01/2001,0.14926,0.196978,0.081507,0.035428,138566,462751,199.5,87335,161378,444.5,111.46,29.43,99.65129037,43.47142857,22.57,204.8221154,466.1490385,-5.05,-10.4
29/01/2001,0.109091,0.192427,0.095671,0.055271,111984,479269,207,73636,163272,454,110.32,29.8,99.79903221,39.69,23.19,204.6754808,465.6730769,-3.05,-6.7
05/02/2001,0.084092,0.165568,0.075552,0.052978,84996,486783,208.25,92057,166281,443.5,111.52,31.55,99.94677405,40.15714286,22.03,204.5913462,465.3076923,-2.15,-6.5
12/02/2001,0.112539,0.09097,0.113288,0.045113,106094,475868,212,86104,167171,441.5,112.26,28.8,102.9958136,56.89,22.12,204.5432692,464.9567308,-2,-4.5
19/02/2001,0.119496,0.102918,0.121201,0.020906,152493,451597,209.25,120021,162639,445,112.03,28.77,106.0448532,80.46428571,27.21,204.5625,465.0336538,0.25,-1.7
26/02/2001,0.150788,0.02494,0.110793,0.015556,189308,438507,217.75,102783,155493,444,111.17,27.92,109.0938928,55.48571429,27.43,204.5745192,465.0528846,3.65,-0.1
05/03/2001,0.114418,0.025262,0.09274,0.019412,109058,431625,214.75,79802,153191,448.5,111.4,28.28,112.1429324,54.08714286,25.62,204.4783654,465,1.55,-1.1
12/03/2001,0.08828,0.025326,0.066589,0.024491,135140,436183,199.5,79829,147592,428.5,115.2,26.47,110.861902,65.32,29.91,204.1947115,464.625,-1.75,-3
19/03/2001,0.063555,0.052814,0.07447,0.049514,109755,450529,200.5,71032,144531,423.5,115.94,26.15,109.5808717,61.57285714,30.45,203.9278846,464.1201923,-2.3,-3.6
26/03/2001,0.079559,0.103377,0.057493,0.020414,115278,447366,205.25,77806,145503,416,117.49,26.46,108.2998413,64.70857143,28.64,203.8100962,463.6634615,-0.8,-5.8
02/04/2001,0.068563,0.095894,0.061501,0.042511,96727,456186,212.25,65728,154449,424.5,114.75,27.14,107.0188109,47.05857143,31.69,203.8004808,463.3221154,-1.1,-3.9
09/04/2001,0.070886,0.05988,0.065264,0.043615,105710,457948,213.75,76160,159510,426,115.54,28.29,102.2044362,41.23428571,26.12,203.6394231,462.9278846,-0.2,-4.5
16/04/2001,0.059165,0.096949,0.064813,0.055998,156134,464548,204,90014,160092,423,114.32,27.81,97.39006158,53.50142857,25.38,203.4783654,462.5048077,0.9,-1.1
23/04/2001,0.060477,0.101483,0.070193,0.031259,227148,449709,196.25,123602,156066,419,115.62,28.41,92.57568693,57.29285714,26.61,203.3052885,462.0913462,-0.85,-0.9
30/04/2001,0.08082,0.074653,0.097647,0.090196,148816,424343,207,89242,139685,437,114.93,28.67,87.76131227,59.83142857,23.91,203.1875,461.8942308,0.35,4.2
07/05/2001,0.102794,0.037644,0.105861,0.164032,125791,423917,194,72528,133548,435.5,116.84,28.5,82.94693761,63.64714286,23.54,202.9206731,461.7307692,-3.65,2.2
14/05/2001,0.094704,0.07941,0.08538,0.145568,77588,422233,196.75,91040,135345,447.5,116.41,29.06,80.72982734,54.39285714,21.23,202.6947115,461.7788462,-3.4,4.3
21/05/2001,0.05929,0.096628,0.101366,0.075349,98875,424994,191.25,74122,137471,442.5,118.18,28.4,78.51271706,53.70142857,20.6,202.4423077,461.7692308,-2.55,3.9
28/05/2001,0.077869,0.068033,0.104078,0.085232,121472,428994,200.75,111661,146137,450.5,118.89,27.93,76.29560678,72.06142857,21.59,202.2692308,461.8076923,0.9,6.3
04/06/2001,0.079197,0.057436,0.05711,0.100144,107120,425423,194.25,97138,151994,461.5,119.21,28.33,74.07849651,70.39142857,19.92,202.0480769,461.8653846,-2.55,4.9
11/06/2001,0.04487,0.028887,0.052817,0.085795,119514,427104,185.5,104504,157778,452.5,118.29,28.53,79.90427906,75.76857143,22.81,201.7620192,461.8317308,-1.7,3.4
18/06/2001,0.045303,0.032833,0.059773,0.075028,159135,430962,186.25,102016,154872,449,118.91,26.76,85.73006161,76.78857143,20.02,201.5216346,462.0096154,-2.1,0.3
25/06/2001,0.034527,0.033859,0.097145,0.053311,163237,413714,188.25,109412,148508,472,119.43,25.74,91.55584416,53.49285714,19.06,201.4735577,462.6298077,-0.6,5.9
02/07/2001,0.031905,0.062776,0.083268,0.046291,197794,385741,202.25,138934,165496,488,119.9,27.02,97.38162671,71.82142857,21.63,201.71875,463.5576923,0.3,7.5
09/07/2001,0.044312,0.080079,0.080988,0.047115,277761,388007,213.25,175571,183704,518.5,119.33,26.82,94.42306503,48.9,21.14,202.0985577,464.7355769,3.8,11.4
16/07/2001,0.047389,0.078598,0.078993,0.060495,183833,394140,202,143361,192580,486.5,117.21,24.87,91.46450336,63.19857143,22.34,202.2139423,465.1057692,3.3,6.8
23/07/2001,0.041299,0.077082,0.061514,0.122948,137878,391120,213.5,118598,182533,506.5,116.94,26.2,88.50594168,62.70285714,22,202.5048077,466.0576923,5.45,11.5
30/07/2001,0.038534,0.09104,0.044762,0.095832,116312,389939,208.5,134808,171840,482,116.14,26.2,85.54738001,52.89428571,19.89,202.5528846,466.3221154,4.05,2
06/08/2001,0.047925,0.045828,0.048107,0.139935,122600,390580,220,88584,163769,509.5,115.29,28.08,82.58881833,60.80428571,20.55,202.8076923,467.1394231,3.55,4.3
13/08/2001,0.036169,0.024405,0.051978,0.16808,119050,398331,213.75,95476,168559,501,112.99,26.68,105.6842746,75.45142857,23.84,203,467.6682692,0.1,-3.5
20/08/2001,0.036675,0.020722,0.040199,0.065771,144998,395770,214.75,94834,167698,475,113.33,28.25,128.7797309,63.01285714,19.71,203.2019231,467.9182692,2.55,-2.3
27/08/2001,0.026882,0.033039,0.039073,0.117911,167524,364532,222.25,89104,159825,474.5,113.42,27.23,151.8751871,59.34714286,24.92,203.3533654,467.9326923,1.75,-6.4
03/09/2001,0.037803,0.066297,0.041186,0.218146,124210,350667,222.75,67277,159285,451,114.05,28.03,174.9706434,49.56857143,30.99,203.5552885,467.5769231,2.85,-6.2
10/09/2001,0.024625,0.09244,0.02343,0.092463,132336,352908,219.25,76300,163735,454.5,114.66,29.78,172.1479255,446.3371429,31.84,203.7956731,467.5144231,-0.15,-11
17/09/2001,0.021067,0.07309,0.022644,0.061406,159201,375120,212.25,75528,168985,450.5,112.93,25.48,169.3252076,749.3,42.66,203.9927885,467.5336538,-0.3,-10.1
24/09/2001,0.020023,0.125336,0.042635,0.148882,87236,391210,204.5,84480,177583,427.5,113.4,23.43,166.5024898,719.7316667,31.93,204.1201923,467.3365385,-2.05,-9.5
01/10/2001,0.026263,0.091514,0.04635,0.287369,122371,407480,204.25,85739,187688,428.5,112.79,22.38,163.6797719,646.2671429,33.39,204.2451923,467.0769231,-3.6,-9.2
08/10/2001,0.027288,0.053991,0.052606,0.296158,94841,409967,198.5,106262,191760,412,113.69,22.53,155.6920628,534.7414286,35.27,204.3317308,466.625,-4.85,-7.8
15/10/2001,0.023597,0.037616,0.124765,0.262327,108090,417952,205.5,116839,200357,403,114.86,21.83,147.7043537,475.5785714,34.11,204.4711538,466.2788462,-2.75,-10.3
22/10/2001,0.035052,0.031637,0.067673,0.118469,82312,427633,203.5,123496,205387,404.5,115.65,22.08,139.7166446,404.7471429,28.42,204.5961538,465.9038462,-1.75,-9.2
29/10/2001,0.020449,0.049016,0.01521,0.101588,125320,449017,199.25,164866,185372,412.625,114.46,20.18,131.7289355,358.6685714,30.71,204.65625,465.5108173,-1.05,-2.975
05/11/2001,0.037296,0.052468,0.013127,0.113146,129873,469681,205,98683,178798,420.625,115.1,22.23,123.7412264,327.0028571,27.44,204.8173077,465.3197115,0.15,-1.575
12/11/2001,0.080059,0.045606,0.018693,0.131018,121318,473487,202.25,69542,173673,435,116.41,18.03,119.3661293,305.33,25.07,204.8990385,465.1947115,0.75,4.6
19/11/2001,0.090192,0.057782,0.039155,0.153128,115132,471948,203.75,65089,174132,434,117.33,18.73,114.9910322,261.9471429,23.25,204.9711538,465.0504808,-0.35,6.2
26/11/2001,0.045523,0.104497,0.051546,0.131455,309012,440981,209.5,110899,173535,431.625,116.13,19.48,110.615935,239.4585714,24.92,205.0769231,464.8064904,1.2,5.425
